name,address,設置数,lat,lng,
江ノ島電鉄㈱七里ヶ浜駅,神奈川県鎌倉市七里ガ浜1-9-5,1,35.306239,139.510175,
江ノ島電鉄㈱極楽寺駅,神奈川県鎌倉市極楽寺3-7-4,1,35.309197,139.528444,
㈱イトーヨーカ堂大船店(保安室),神奈川県鎌倉市大船6-1-1,1,35.354347,139.537931,
㈱イトーヨーカ堂大船店(事務所),神奈川県鎌倉市大船6-1-1,1,35.354347,139.537931,
由比ガ浜地下駐車場,神奈川県鎌倉市由比ガ浜4-1-7,1,35.309808,139.543675,
鎌倉学園中高等学校,神奈川県鎌倉市山ノ内110,1,35.331108,139.552925,
三菱電機ライフサービス㈱湘南支社,神奈川県鎌倉市笛田3-30-1,1,35.322683,139.521722,
鎌倉プリンスホテル(エレベーター横),神奈川県鎌倉市七里ガ浜東1-2-18,1,35.305506,139.515514,
鎌倉プリンスホテル(バンケットホール),神奈川県鎌倉市七里ガ浜東1-2-18,1,35.305506,139.515514,
鎌倉プリンスホテル(ゴルフ場),神奈川県鎌倉市七里ガ浜東1-2-18,1,35.305506,139.515514,
ダイヤモンド鎌倉別邸ソサエティ,神奈川県鎌倉市由比ガ浜3-12-25,1,35.313419,139.539742,
カトリック雪ノ下教会,神奈川県鎌倉市小町2-14-4,1,35.320594,139.553353,
コーナン鎌倉大船モール,神奈川県鎌倉市岡本1188-1,1,35.347775,139.516611,
鎌倉パークホテル,神奈川県鎌倉市坂ノ下33-6,1,35.305319,139.531978,
長谷寺,神奈川県鎌倉市長谷3-11-2,1,35.312422,139.533161,
建長寺（拝観受付）,神奈川県鎌倉市山ノ内8,1,35.330631,139.553472,
建長寺（庭園拝観受付）,神奈川県鎌倉市山ノ内8,1,35.331853,139.555319,
建長寺（半僧坊御祈祷受付）,神奈川県鎌倉市山ノ内8,1,35.334536,139.558556,
三菱電機㈱情報技術総合研究所,神奈川県鎌倉市大船5-1-1,1,35.350589,139.537278,
三菱電機㈱大船体育館,神奈川県鎌倉市大船2-14,1,35.350453,139.535847,
富士見町町内会（ホンダウィング内）,神奈川県鎌倉市台2-2-18,1,35.348972,139.529161,
鶴岡八幡宮,神奈川県鎌倉市雪ノ下2-1-13,1,35.325169,139.556028,
鎌倉宮,神奈川県鎌倉市二階堂154,1,35.325858,139.566853,
デンカ㈱大船工場,神奈川県鎌倉市台2-13-1,1,35.347725,139.527917,
(財)鎌倉市公園協会(夫婦池）,神奈川県鎌倉市鎌倉山2-2-2,1,35.319681,139.517292,
(財)鎌倉市公園協会（源氏山公園）,神奈川県鎌倉市扇ガ谷4-469-1,1,35.326403,139.5443,
(財)鎌倉市公園協会[散在が池公園）,神奈川県鎌倉市今泉台7-930-1,1,35.341808,139.562264,
(財)鎌倉市公園協会（海浜公園）,神奈川県鎌倉市由比ガ浜4-7-1,1,35.31015,139.542694,
JR大船駅(南口改札）,神奈川県鎌倉市大船1-1-1,1,35.353439,139.531222,
JR大船駅(北口改札）,神奈川県鎌倉市大船1-1-1,1,35.354603,139.531814,
㈱マツヤ(モービル鎌倉給油所）,神奈川県鎌倉市由比ガ浜2-1-20,1,35.315594,139.550194,
㈱マツヤ(エッソ手広給油所）,神奈川県鎌倉市手広1-5-21,1,35.330375,139.511853,
シンロイヒ㈱,神奈川県鎌倉市台2-19-12,1,35.344983,139.528681,
カーブス大船,神奈川県鎌倉市台3-3-13,1,35.345636,139.531825,
ミハル通信㈱(事務所棟),神奈川県鎌倉市岩瀬1285,1,35.361581,139.544417,
ミハル通信㈱(工場棟),神奈川県鎌倉市岩瀬1285,1,35.361581,139.544417,
鎌倉税務署,神奈川県鎌倉市佐助1-9-30,1,35.320181,139.543117,
㈱ベネッセスタイルケア鎌倉山荘,神奈川県鎌倉市扇ガ谷4-1-3,1,35.326397,139.548925,
電通鎌倉研修所,神奈川県鎌倉市大町3-13-1,1,35.317508,139.56125,
玉縄幼稚園,神奈川県鎌倉市植木129,1,35.351708,139.519353,
障害福祉サービス事業所工房ひしめき,神奈川県鎌倉市鎌倉山2-8-34,1,35.317286,139.518556,
二階堂親和会（クロスハート二階堂鎌倉）,神奈川県鎌倉市二階堂267-67,1,35.331033,139.565742,
今泉台町内会,神奈川県鎌倉市今泉台4-6-13,1,35.338483,139.557972,
東京ガスエネワーク㈱ライフバル湘南鎌倉店,神奈川県鎌倉市御成町4-5,1,35.3164,139.550139,
鎌倉とうきゅう,神奈川県鎌倉市小町1-2-11,1,35.318228,139.550925,
㈱鎌倉ファミリー,神奈川県鎌倉市台3-6-6,1,35.345283,139.532069,
鎌倉乃えん（鎌倉ケアホームえん）,神奈川県鎌倉市今泉3-18-6,1,35.344339,139.56095,
ルネサンスリハビリセンター大船,神奈川県鎌倉市岩瀬1-17-5,1,35.354542,139.541589,
鎌倉保健福祉事務所,神奈川県鎌倉市由比ガ浜2-16-13,1,35.312561,139.547125,
宗教法人日本キリスト教団鎌倉教会,神奈川県鎌倉市由比ガ浜2-2-6,1,35.315417,139.549222,
ドコモショップ鎌倉店,神奈川県鎌倉市小町1-3-5,1,35.317417,139.550867,
清泉小学校,神奈川県鎌倉市雪ノ下3-11-45,1,35.324603,139.561772,
特養鎌倉静養館,神奈川県鎌倉市由比ガ浜4-4-30,1,35.310417,139.544439,
JR鎌倉駅（東口改札）,神奈川県鎌倉市小町1-1-1,1,35.319017,139.550689,
JR鎌倉駅（西口改札）,神奈川県鎌倉市小町1-1-1,1,35.319044,139.550208,
鎌倉婦人子供会館,神奈川県鎌倉市小町1-11-5,1,35.317625,139.553439,
グランダ深沢鎌倉,神奈川県鎌倉市寺分3-15-23,1,35.331442,139.52455,
パタゴニアインターナショナルインク（店舗）,神奈川県鎌倉市小町1-13-12,1,35.317264,139.551222,
パタゴニアインターナショナルインク（事務所）,神奈川県鎌倉市小町1-13-12,1,35.317264,139.551222,
パタゴニアインターナショナルインク（メンテナンス）,神奈川県鎌倉市由比ガ浜2-11-18,1,35.313317,139.548819,
認定こども園学校法人吉沢学園深沢幼稚園,神奈川県鎌倉市寺分1-15-4,1,35.334497,139.5215,
認定こども園学校法人吉沢学園保育園アワーキッズ鎌倉,神奈川県鎌倉市寺分1-13-5,1,35.334083,139.521883,
徳洲会スポーツセンターかまくら,神奈川県鎌倉市梶原560-5,1,35.333306,139.518278,
グランダ鎌倉山,神奈川県鎌倉市鎌倉山4-4-12,1,35.324456,139.514458,
湘南横浜若者サポートステーション,神奈川県鎌倉市小袋谷1-6-1,1,35.349256,139.531944,
ノア鎌倉ビル,神奈川県鎌倉市御成町12-8,1,35.319414,139.549375,
日本私立学校振興共済事業団鎌倉保養所あじさい荘,神奈川県鎌倉市坂ノ下25-4,1,35.308344,139.533528,
社会福祉法人清和会鎌倉清和由比,神奈川県鎌倉市坂ノ下33-3,1,35.305722,139.532397,
鎌倉彫協同組合,神奈川県鎌倉市小町2-15-13,1,35.320108,139.553064,
㈱大倉製作所,神奈川県鎌倉市笛田1-10-41,1,35.332175,139.506514,
鎌倉宮カントリーテニスクラブ,神奈川県鎌倉市二階堂148,1,35.326681,139.568008,
小町商店会（とんかつ小満ち）,神奈川県鎌倉市小町1-6-28,1,35.319936,139.551417,
小町商店会（鎌倉亀善）,神奈川県鎌倉市小町2-8-3,1,35.321258,139.552272,
小町商店会（工芸品かまくら）,神奈川県鎌倉市小町2-8-13,1,35.322117,139.552689,
クロスハート十二所・鎌倉,神奈川県鎌倉市十二所937-8,1,35.319175,139.577147,
福村歯科,神奈川県鎌倉市大船1-26-23,1,35.354269,139.532897,
相鉄フレッサイン鎌倉大船,神奈川県鎌倉市大船1-26-5,1,35.354564,139.533139,
おおぞら幼稚園,神奈川県鎌倉市大船5-10-35,1,35.348114,139.541472,
又吉歯科医院,神奈川県鎌倉市小袋谷553-5,1,35.343717,139.539819,
県立大船高校（事務室）,神奈川県鎌倉市高野8-1,1,35.344686,139.5475,
医療法人沖縄徳洲会湘南鎌倉人工関節センター,神奈川県鎌倉市台5-4-17,1,35.342375,139.534339,
和食レストランとんでん北鎌倉店,神奈川県鎌倉市小袋谷2-18-7,1,35.343467,139.539319,
㈱富士住建鎌倉営業所,神奈川県鎌倉市台3-6-11,1,35.345447,139.532339,
極真会館大船道場,神奈川県鎌倉市台2-14-4,1,35.346128,139.527675,
しろた歯科,神奈川県鎌倉市台3-9-29,1,35.34585,139.529972,
ホテルメッツかまくら大船,神奈川県鎌倉市大船1-2-1,1,35.351186,139.530694,
鎌倉二葉会館,神奈川県鎌倉市常盤78-1,1,35.330847,139.517925,
ラペ鎌倉,神奈川県鎌倉市関谷1465-1,1,35.361211,139.501806,
鎌倉パブリックゴルフ場,神奈川県鎌倉市今泉5-1003,1,35.338578,139.570425,
鎌倉カントリークラブ（カート待機所入口）,神奈川県鎌倉市今泉5-1026,1,35.337506,139.573431,
鎌倉カントリークラブ(カート庫）,神奈川県鎌倉市今泉5-1026,1,35.337233,139.573972,
鎌倉カントリークラブ（コース売店）,神奈川県鎌倉市今泉5-1026,1,35.342364,139.573542,
㈱江ノ電バス横浜鎌倉営業所,神奈川県鎌倉市岩瀬1120-2,1,35.360622,139.544242,
岩瀬保育園,神奈川県鎌倉市岩瀬1526,1,35.352536,139.549028,
ココファンメゾン鎌倉山　,神奈川県鎌倉市津707-1,1,35.316769,139.503675,
特養老人ホームふれあいの泉,神奈川県鎌倉市今泉2-10-1,1,35.346436,139.551425,
こもれび山崎温水プール,神奈川県鎌倉市山崎1330-39,1,35.341092,139.528647,
報国寺,神奈川県鎌倉市浄明寺2-7-4,1,35.320033,139.56955,
クリエイトＳＤ鎌倉材木座店,神奈川県鎌倉市材木座5-7-6,1,35.309161,139.5492,
鎌倉女学院中高等学校(職員室),神奈川県鎌倉市由比ガ浜2-10-4,1,35.314272,139.549458,
鎌倉女学院中高等学校(アリーナ前),神奈川県鎌倉市由比ガ浜2-10-4,1,35.314272,139.549458,
エルダーホームケア西鎌倉,神奈川県鎌倉市腰越933-1,1,35.316394,139.503792,
円覚寺（総門料金所）,神奈川県鎌倉市山ノ内409,1,35.337028,139.546097,
円覚寺（方丈放送室）,神奈川県鎌倉市山ノ内409,1,35.338,139.548486,
円覚寺（宗務本所）,神奈川県鎌倉市山ノ内409,1,35.337728,139.548133,
きしろホーム,神奈川県鎌倉市坂ノ下31-5,1,35.306772,139.532353,
大船奉斎殿,神奈川県鎌倉市大船1-3-5,1,35.3505,139.530903,
鎌倉児童ホーム,神奈川県鎌倉市佐助1-6-6,1,35.319725,139.545056,
鎌倉ローンテニス倶楽部,神奈川県鎌倉市笛田2-8-33,1,35.326636,139.51575,
神奈川トヨタ自動車㈱鎌倉店,神奈川県鎌倉市笛田1-1-25,1,35.329972,139.515242,
スタンレーサーフサイド,神奈川県鎌倉市材木座5-4-24,1,35.308317,139.546964,
鎌倉霊園（管理事務所）,神奈川県鎌倉市十二所512,1,35.327431,139.583258,
鎌倉霊園(大刀洗休憩所）,神奈川県鎌倉市十二所512,1,35.327311,139.583214,
鎌倉霊園（富士見休憩所）,神奈川県鎌倉市十二所512,1,35.328967,139.586853,
鎌倉霊園（朝比奈休憩所）,神奈川県鎌倉市十二所512,1,35.328128,139.589236,
寺分保育園,神奈川県鎌倉市寺分418-10,1,35.335933,139.519514,
神奈川トヨタ自動車㈱大船店,神奈川県鎌倉市岩瀬1333-1,1,35.361092,139.544575,
宗教法人　龍口明神社,神奈川県鎌倉市腰越１５４８－４,1,35.3180338,139.5070833,
株式会社横浜銀行鎌倉支店,神奈川県鎌倉市小町１－６－２１,1,35.31933,139.548813,
野村證券株式会社鎌倉支店,神奈川県鎌倉市御成町１１－３２,1,35.332661,139.504791,
巴機械工業株式会社,神奈川県鎌倉市笛田１－１４－５,1,35.319513,139.550856,
"神奈川県水難救済会　腰越救難所
（腰越漁業協同組合内）",神奈川県鎌倉市腰越２－９－１,1,35.307329,139.49293,
鎌倉早見美容専門学校,神奈川県鎌倉市小町１－２－１６,1,35.317819,139.550819,
北鎌倉女子学園中学高等学校(職員室),神奈川県鎌倉市山ノ内９１３,1,35.3373589,139.5418704,
北鎌倉女子学園中学高等学校(体育館),神奈川県鎌倉市山ノ内９１３,1,35.3373589,139.5418704,
北鎌倉女子学園中学高等学校(グランド),神奈川県鎌倉市山ノ内９１３,1,35.3373589,139.5418704,
かいひん荘鎌倉,神奈川県鎌倉市由比ガ浜4-8-14,1,35.311956,139.5415378,
ケアホーム鎌倉深沢,神奈川県鎌倉市常盤267,1,35.3289602,139.5231802,
神奈川県企業庁鎌倉水道営業所,神奈川県鎌倉市御成町１２－１８,1,35.3523701,139.5161201,
Fit Care Mart鎌倉今泉店,神奈川県鎌倉市今泉２－１５－１,1,35.346,139.55249,
荒井屋本店,神奈川県鎌倉市山ノ内７２９,1,35.34038,139.54064,
レース工房　静庵,神奈川県鎌倉市山ノ内５３５－１０,1,35.33906,139.54357,
齋藤牛豚肉店,神奈川県鎌倉市山ノ内７５３,1,35.33793,139.54379,
山ノ内公会堂,神奈川県鎌倉市山ノ内１３６４,1,35.33574,139.54604,
猫の箱,神奈川県鎌倉市山ノ内３７７－１,1,35.33555,139.54737,
ファミリーマート鎌倉山ノ内店,神奈川県鎌倉市山ノ内１３９５,1,35.3346,139.54723,
朝日新聞北鎌倉専売所,神奈川県鎌倉市山ノ内７４８,1,35.33845,139.54323,
三日月堂　花仙,神奈川県鎌倉市山ノ内１３３－１１,1,35.33178,139.55125,
カトリック横浜司教区大船教会,神奈川県鎌倉市大船２－１－３４,1,35.35068,139.533336,
ショートステイパイル,神奈川県鎌倉市関谷２９６,1,35.36121,139.5164549,
グループホームふぁいと今泉の里,神奈川県鎌倉市今泉１－11－８,1,35.349456,139.551392,
出張美容　ＬＯＣＯ～ロコ～,神奈川県鎌倉市腰越３－32－15,1,35.310518,139.493383,
成福寺,神奈川県鎌倉市小袋谷2-13-33,1,35.343306,139.537089,
レーベンスガルテン山崎自治会,神奈川県鎌倉市山崎1390-５,1,35.341456,139.528362,
鎌倉広町緑地管理事務所,神奈川県鎌倉市津1133,1,35.314536,139.507757,
グループホーム小袋谷３・４,神奈川県鎌倉市小袋谷2-22-30-3,1,35.341836,139.528454,
