name,zip,address,電話番号,lat,lng
鎌倉市役所本庁舎,〒248-8686,鎌倉市御成町18-10,0467-23-3000,35.319225,139.546687
腰越行政センター,〒248-0033,鎌倉市腰越864,0467-33-0710,35.313437,139.500888
深沢行政センター,〒248-0022,鎌倉市常盤111-3,0467-48-0021,35.331127,139.51885
大船行政センター,〒247-0056,鎌倉市大船2-1-26,0467-45-7711,35.349896,139.533449
玉縄行政センター,〒247-0072,鎌倉市岡本2-16-3,0467-44-2217,35.349425,139.523244
市民サービスコーナー,〒247-0056,"鎌倉市大船１?４?１
JR大船駅ルミネウィング6階",0467-48-3030,35.352879,139.531249
大船駅周辺整備事務所,〒247-0056,鎌倉市大船2-7-8,0467-23-3000,35.35202,139.53502
第一小学校,〒248-0014,鎌倉市由比ガ浜2-9-55,0467-25-1200,35.314254,139.548147
第二小学校,〒248-0002,鎌倉市二階堂878,0467-25-1202,35.323755,139.56549
御成小学校,〒248-0012,鎌倉市御成町19-1,0467-25-1204,35.318512,139.547272
稲村ケ崎小学校,〒248-0023,鎌倉市極楽寺3-2-3,0467-24-8338,35.310749,139.527853
腰越小学校,〒248-0033,鎌倉市腰越5-7-1,0467-31-7600,35.312441,139.492248
七里ガ浜小学校,〒248-0025,鎌倉市七里ガ浜東5-3-2,0467-32-4102,35.311684,139.512417
西鎌倉小学校,〒248-0032,鎌倉市津1069,0467-32-4100,35.323752,139.507111
深沢小学校,〒247-0063,鎌倉市梶原1-11-1,0467-44-1226,35.330796,139.520914
山崎小学校,〒247-0066,鎌倉市山崎2500,0467-44-1232,35.338716,139.533717
富士塚小学校,〒247-0065,鎌倉市上町屋810,0467-45-1621,35.337052,139.520462
大船小学校,〒247-0056,鎌倉市大船2-8-1,0467-44-1224,35.351432,139.535038
小坂小学校,〒247-0055,鎌倉市小袋谷587,0467-44-1228,35.343653,139.540554
今泉小学校,〒247-0052,鎌倉市今泉2-13-1,0467-44-1234,35.344611,139.551227
玉縄小学校,〒247-0071,鎌倉市玉縄1-860,0467-44-1230,35.35109,139.523328
植木小学校,〒247-0073,鎌倉市植木1,0467-44-1686,35.354015,139.518118
関谷小学校,〒247-0075,鎌倉市関谷468-1,0467-44-5436,35.360994,139.513553
第一中学校,〒248-0013,鎌倉市材木座6-19-19,0467-25-1300,35.302605,139.555399
第二中学校,〒248-0004,鎌倉市西御門1-7-1,0467-25-1302,35.328273,139.558908
御成中学校,〒248-0015,鎌倉市笹目町2-1,0467-25-1304,35.318094,139.541943
腰越中学校,〒248-0033,鎌倉市腰越4-11-20,0467-31-1500,35.312559,139.497549
深沢中学校,〒247-0063,鎌倉市梶原1-14-1,0467-44-1222,35.330935,139.523413
手広中学校,〒248-0036,鎌倉市手広5-7-1,0467-32-0801,35.325285,139.505102
大船中学校,〒247-0056,鎌倉市大船4-1-25,0467-44-1220,35.34715,139.536941
岩瀬中学校,〒247-0051,鎌倉市岩瀬840,0467-47-5131,35.347192,139.549133
玉縄中学校,〒247-0072,鎌倉市岡本1100,0467-45-6197,35.348173,139.51957
にかいどう子どもの家 二階堂子ども会館,〒248-0002,鎌倉市二階堂912-1 鎌倉青少年会館内,0467-23-7532,35.321698,139.566384
おなり子どもの家,〒248-0012,鎌倉市御成町18-10,0467-24-1822,35.318731,139.548159
長谷子ども会館,〒248-0016,鎌倉市長谷1-11-1,0467-24-1165,35.311318,139.536015
だいいち子どもの家・第一子ども会館,〒248-0014,鎌倉市由比ガ浜2-9-13,0467-25-1481,35.313748,139.548506
いなむらがさき子どもの家,〒248-0023,鎌倉市極楽寺3-2-3 稲村ガ崎小学校内,0467-24-8354,35.310751,139.527852
こしごえ子どもの家,〒248-0033,鎌倉市腰越5-7-1,0467-31-0179,35.312995,139.491541
しちりがはま子どもの家 七里ガ浜子ども会館,〒248-0025,鎌倉市七里ガ浜東5-3-3,0467-33-2233,35.310815,139.51255
にしかまくら子どもの家 西鎌倉子ども会館,〒248-0035,鎌倉市津西1-16-36,0467-32-8637,35.318451,139.500463
梶原子ども会館,〒247-0063,鎌倉市梶原4-4-2,0467-47-1433,35.327565,139.529252
深沢子ども会館,〒247-0064,鎌倉市寺分436-2,0467-44-6888,35.334753,139.520065
ふじづか子どもの家・富士塚子ども会館,〒247-0064,鎌倉市寺分418-10,0467-46-5357,35.335757,139.519926
やまさきこどもの家 山崎子ども会館,〒247-0066,鎌倉市山崎2456-1,0467-43-0454,35.337868,139.534571
おおふなこどもの家・大船子ども会館,〒247-0056,鎌倉市大船2-10-3,0467-44-1490,35.353274,139.53261
おさかこどもの家・小坂子ども会館,〒247-0056,鎌倉市大船2135,0467-44-6070,35.343698,139.541626
いわせこどもの家 岩瀬子ども会館,〒247-0051,鎌倉市岩瀬549,0467-47-0887,35.354662,139.545602
たまなわこどもの家 玉縄子ども会館,〒247-0071,鎌倉市玉縄1-2-1 玉縄青少年会館内,0467-47-1293,35.353994,139.524516
うえきこどもの家 植木子ども会館,〒247-0073,鎌倉市植木66-6,0467-47-4011,35.352387,139.516128
せきやこどもの家,〒247-0075,鎌倉市関谷510 関谷小学校内,0467-44-5462,35.360994,139.513553
ふかさわ子どもの家,〒247-0063,鎌倉市梶原1-11-1,0467-47-1418,35.330796,139.520914
鎌倉生涯学習センター（きらら鎌倉）,〒248-0006,鎌倉市小町1-10-5,0467-25-2030,35.318353,139.552226
玉縄学習センター分室（たまなわ交流センター）,〒247-0061,鎌倉市台1-2-25,0467-44-2219,35.351205,139.529291
玉縄青少年会館,〒247-0071,鎌倉市玉縄1-2-1,0467-44-0480,35.353997,139.524539
鎌倉青少年会館,〒248-0002,鎌倉市二階堂912-1,0467-23-7530,35.321698,139.566384
中央図書館,〒248-0012,鎌倉市御成町20-35,0467-25-2611,35.317392,139.545963
鎌倉芸術館,〒247-0056,鎌倉市大船6-1-2,0467-48-5500,35.352548,139.538342
鎌倉文学館,〒248-0016,鎌倉市長谷1-5-3,0467-23-3911,35.315524,139.538898
鎌倉国宝館,〒248-0005,鎌倉市雪ノ下2-1-1,0467-22-0753,35.324667,139.557025
鏑木清方記念美術館,〒248-0005,鎌倉市雪ノ下1-5-25,0467-23-6405,35.323024,139.552314
川喜多映画記念館,〒248-0005,鎌倉市雪ノ下2丁目2番地12号,0467-23-2500,35.324271,139.552488
吉屋信子記念館 ,,鎌倉市長谷1-3-6,,35.314879,139.54084
鎌倉消防署,〒248-0014,鎌倉市由比ガ浜4-1-10,0467-25-7504,35.310421,139.54692
鎌倉消防署腰越出張所,〒248-0033,鎌倉市腰越4-9-12,0467-32-4488,35.311129,139.497583
鎌倉消防署深沢出張所,〒248-0036,鎌倉市手広1-16-12,0467-32-4090,35.327724,139.509647
鎌倉消防署浄明寺出張所,〒248-0003,鎌倉市浄明寺6-2-7,0467-25-5522,35.31664,139.57652
大船消防署,〒247-0056,鎌倉市大船3-5-10,0467-43-2424,35.348951,139.53308
大船消防署玉縄出張所,〒247-0071,鎌倉市玉縄2-5-2,0467-44-1529,35.354642,139.524032
大船消防署台出張所,〒247-0061,鎌倉市台3-6-21,0467-45-1188,35.344857,139.533001
大船消防署今泉出張所,〒247-0052,鎌倉市今泉2-4-25,0467-43-0119,35.346708,139.551997
鎌倉消防署七里ガ浜出張所,〒248-0025,鎌倉市七里ガ浜東1-2-5,0467-31-0119,35.308337,139.516195
福祉センター,〒248-0012,鎌倉市御成町20-21,0467-23-1075,35.317123,139.546219
あおぞら園,〒248-0027,鎌倉市笛田2-38-20,0467-32-0739,35.321287,139.51754
名越やすらぎセンター,〒248-0013,鎌倉市材木座2-15-3,0467-25-1188,35.308746,139.557479
教養センター,〒248-0027,鎌倉市笛田2-17-1,0467-32-1221,35.324487,139.516029
玉縄すこやかセンター,〒247-0071,鎌倉市玉縄5-9-1,0467-47-1338,35.35895,139.520026
今泉さわやかセンター,〒247-0052,鎌倉市今泉3-21-23,0467-45-4611,35.344006,139.561856
老人いこいの家「こゆるぎ荘」,〒248-0033,鎌倉市腰越2-9-12,0467-31-2255,35.30667,139.493427
鎌倉子育て支援センター,〒248-0012,鎌倉市御成町20-21,0467-23-0606,35.317123,139.546219
深沢子育て支援センター,〒247-0063,鎌倉市梶原2-33-2,0467-48-0550,35.32851,139.529949
教育センター相談室,〒248-8686,鎌倉市御成町18-10,0467-23-3000,35.318667,139.548153
材木座保育園,〒248-0013,鎌倉市材木座3-5-8,0467-22-2385,35.302825,139.554186
稲瀬川保育園,〒248-0016,鎌倉市長谷2-20-18,0467-24-6121,35.310421,139.53696
腰越保育園,〒248-0033,鎌倉市腰越5-11-17,0467-31-1808,35.311554,139.493666
深沢保育園,〒247-0063,鎌倉市梶原2-33-2 深沢こどもセンター内,0467-48-0200,35.32851,139.529949
大船保育園,〒247-0056,鎌倉市大船2-10-24,0467-44-6291,35.349995,139.534637
岡本保育園　仮園舎,〒247-0075,鎌倉市玉縄1-4,0467-46-1500,35.352377,139.524164
鎌倉武道館,〒247-0066,鎌倉市山崎616-6,0467-46-8010,35.346122,139.525056
鎌倉体育館,〒248-0014,鎌倉市由比ガ浜2-9-9,0467-24-3553,35.314219,139.548686
大船体育館,〒247-0061,鎌倉市台3-2-5,0467-47-1862,35.34648,139.530943
見田記念体育館,〒248-0014,鎌倉市由比ガ浜2-13-21,0467-24-1415,35.312584,139.54968
鎌倉海浜公園水泳プール,〒248-0021,鎌倉市坂ノ下34-5,0467-22-2909,35.305095,139.531062
こもれび山崎温水プール,〒247-0066,鎌倉市山崎1330-39,0467-46-0505,35.341064,139.528556
西御門テニスコート,〒248-0004,鎌倉市西御門1-11-5,0467-22-8583,35.328722,139.561128
名越クリーンセンター,〒248-0007,鎌倉市大町5-11-16,0467-24-1097,35.308013,139.561379
今泉クリーンセンター,〒247-0052,鎌倉市今泉4-1-1,0467-44-5344,35.343984,139.564483
笛田リサイクルセンター,〒248-0027,鎌倉市笛田1-11-34,0467-32-9090,35.332768,139.507242
植木剪定材受入事業場,〒247-0075,鎌倉市関谷1493-2,0467-45-0526,35.361887,139.500661
七里ガ浜浄化センター,〒248-0025,鎌倉市七里ガ浜東5-3-1,0467-31-5224,35.312035,139.512768
山崎浄化センター,〒247-0066,鎌倉市山崎354-2,0467-46-8001,35.345665,139.523386
鎌倉海浜公園,〒248-0014,鎌倉市由比ガ浜4-9,,35.310518,139.541493
鎌倉海浜公園由比ガ浜地区,〒248-0014,鎌倉市由比ガ浜4-7-1,0467-23-3000,35.31018,139.542054
鎌倉海浜公園稲村ガ崎地区,〒248-0024,鎌倉市稲村ガ崎1,0467-23-3000,35.302457,139.525644
鎌倉海浜公園坂ノ下地区,〒248-0021,鎌倉市坂ノ下34,0467-23-3000,35.304576,139.53158
鎌倉中央公園,〒247-0066,鎌倉市山崎1667,0467-45-2750,35.334483,139.530592
